seq_index,start_position,end_position
801,30,37
801,39,46
801,96,103
594,30,37
594,39,46
594,96,103
84,30,37
84,39,46
84,96,103
1845,9,16
1845,18,25
1845,75,82
880,30,37
880,39,46
880,96,103
697,30,37
697,39,46
697,96,103
709,30,37
709,39,46
709,96,103
159,30,37
159,39,46
159,96,103
692,30,37
692,39,46
692,96,103
430,30,37
430,39,46
430,96,103
1191,30,37
1191,39,46
1191,96,103
703,30,37
703,39,46
703,96,103
334,30,37
334,39,46
334,96,103
1133,30,37
1133,39,46
1133,96,103
408,30,37
408,39,46
408,96,103
87,30,37
87,39,46
87,96,103
361,30,37
361,39,46
361,96,103
1949,30,37
1949,39,46
1949,96,103
930,30,37
930,39,46
930,96,103
338,30,37
338,39,46
338,96,103
68,30,37
68,39,46
68,96,103
207,30,37
207,39,46
207,96,103
251,30,37
251,39,46
251,96,103
1099,9,16
1099,18,25
1099,75,82
2958,30,37
2958,39,46
2958,96,103
2087,30,37
2087,39,46
2087,96,103
864,30,37
864,39,46
864,96,103
1199,30,37
1199,39,46
1199,96,103
41,30,37
41,39,46
41,96,103
