seq_index,start_position,end_position
718,82,89
718,102,109
1702,13,20
1702,33,40
801,82,89
801,102,109
917,39,46
917,59,66
1847,6,13
1847,26,33
117,82,89
117,102,109
493,82,89
493,102,109
2199,61,68
2199,81,88
329,82,89
329,102,109
84,82,89
84,102,109
2619,64,71
2619,84,91
880,82,89
880,102,109
1722,46,53
1722,66,73
596,83,90
596,103,110
57,82,89
57,102,109
159,82,89
159,102,109
288,82,89
288,102,109
1926,77,84
1926,97,104
55,25,32
55,45,52
428,82,89
428,102,109
664,82,89
664,102,109
430,82,89
430,102,109
1026,38,45
1026,58,65
643,67,74
643,87,94
169,82,89
169,102,109
1393,82,89
1393,102,109
3398,57,64
3398,77,84
308,82,89
308,102,109
1191,82,89
1191,102,109
769,82,89
769,102,109
1886,82,89
1886,102,109
16,81,88
16,101,108
334,82,89
334,102,109
1379,60,67
1379,80,87
472,82,89
472,102,109
870,82,89
870,102,109
170,82,89
170,102,109
2807,82,89
2807,102,109
3294,65,72
3294,85,92
80,46,53
80,66,73
87,81,88
87,101,108
1347,81,88
1347,101,108
1706,75,82
1706,95,102
361,82,89
361,102,109
46,82,89
46,102,109
498,82,89
498,102,109
2497,38,45
2497,58,65
72,82,89
72,102,109
3442,38,45
3442,58,65
1721,68,75
1721,88,95
129,82,89
129,102,109
194,82,89
194,102,109
903,13,20
903,33,40
1362,56,63
1362,76,83
1028,82,89
1028,102,109
164,82,89
164,102,109
1570,2,9
1570,22,29
359,81,88
359,101,108
780,68,75
780,88,95
96,82,89
96,102,109
68,82,89
68,102,109
958,38,45
958,58,65
760,82,89
760,102,109
313,82,89
313,102,109
1658,82,89
1658,102,109
791,15,22
791,35,42
812,82,89
812,102,109
179,82,89
179,102,109
3130,61,68
3130,81,88
3209,47,54
3209,67,74
2095,82,89
2095,102,109
656,61,68
656,81,88
70,82,89
70,102,109
207,82,89
207,102,109
2688,69,76
2688,89,96
56,46,53
56,66,73
993,82,89
993,102,109
826,82,89
826,102,109
2436,38,45
2436,58,65
750,82,89
750,102,109
778,82,89
778,102,109
584,82,89
584,102,109
2958,82,89
2958,102,109
2788,47,54
2788,67,74
2087,4,11
2087,24,31
2087,82,89
2087,102,109
2385,26,33
2385,46,53
1199,81,88
1199,101,108
131,81,88
131,101,108
604,82,89
604,102,109
224,38,45
224,58,65
1225,82,89
1225,102,109
610,82,89
610,102,109
148,82,89
148,102,109
2586,24,31
2586,44,51
