seq_index,start_position,end_position
2107,51,60
2260,10,19
2260,51,60
2260,75,84
1174,21,30
1174,32,41
1174,51,60
1174,59,68
1174,90,99
1952,51,60
718,51,60
1702,1,10
1702,8,17
1702,10,19
1702,51,60
1702,94,103
1955,51,60
1955,68,77
1955,72,81
1955,93,102
2349,24,33
2349,51,60
1027,51,60
830,51,60
830,63,72
830,72,81
1437,31,40
1437,51,60
1437,62,71
1437,70,79
1437,96,105
3377,26,35
3377,101,110
3472,51,60
3472,60,69
3472,79,88
3472,94,103
184,51,60
1661,51,60
1661,72,81
419,51,60
1369,32,41
1369,51,60
1369,83,92
3336,51,60
3336,69,78
1990,2,11
1990,51,60
1990,72,81
1990,73,82
524,26,35
524,40,49
524,51,60
524,72,81
524,73,82
3231,51,60
3231,89,98
637,5,14
637,26,35
637,51,60
3219,16,25
3219,33,42
3219,41,50
3219,51,60
3219,70,79
3219,88,97
262,40,49
262,51,60
262,63,72
1265,51,60
1265,83,92
2397,4,13
2397,9,18
2397,42,51
2397,51,60
241,51,60
1822,26,35
1822,71,80
1822,72,81
550,41,50
550,51,60
550,100,109
223,10,19
223,18,27
223,51,60
223,80,89
691,29,38
691,51,60
691,88,97
2359,51,60
636,19,28
636,51,60
636,65,74
636,80,89
636,91,100
2500,9,18
2500,25,34
2500,42,51
2500,51,60
2500,80,89
2500,92,101
3257,16,25
3257,30,39
3257,51,60
3257,71,80
729,51,60
1084,10,19
1084,51,60
1084,52,61
2565,40,49
2565,51,60
3539,36,45
3539,51,60
3539,86,95
3152,51,60
3152,72,81
2585,51,60
2585,77,86
2585,86,95
2585,101,110
801,51,60
801,72,81
801,73,82
2701,42,51
2701,51,60
2701,80,89
2988,51,60
2988,59,68
2988,70,79
2187,51,60
2187,62,71
76,5,14
76,30,39
76,51,60
1465,51,60
2140,51,60
2381,51,60
525,51,60
58,5,14
58,51,60
58,72,81
3548,13,22
3548,26,35
3548,41,50
3548,51,60
3548,78,87
2449,59,68
2449,99,108
1668,32,41
1668,51,60
365,4,13
365,51,60
365,72,81
365,73,82
3316,0,9
3316,73,82
1624,51,60
1057,29,38
1057,42,51
1057,51,60
1057,62,71
1057,77,86
115,27,36
115,51,60
115,72,81
115,73,82
1101,31,40
1101,51,60
1101,87,96
3318,39,48
3318,51,60
3318,63,72
78,32,41
78,51,60
78,94,103
278,29,38
278,51,60
278,69,78
2745,51,60
3217,11,20
3217,51,60
3217,59,68
3217,72,81
3217,74,83
2073,51,60
2073,84,93
1569,51,60
1569,97,106
859,11,20
859,51,60
1573,51,60
1573,78,87
3482,29,38
3482,51,60
3482,75,84
2782,27,36
2782,41,50
2782,51,60
2335,44,53
2335,51,60
484,51,60
484,63,72
484,95,104
2953,51,60
2953,66,75
2953,77,86
3157,12,21
3157,63,72
3157,96,105
1635,51,60
1635,68,77
731,7,16
731,51,60
731,83,92
527,51,60
527,72,81
917,51,60
2731,2,11
2731,16,25
2731,51,60
2731,67,76
534,51,60
534,72,81
534,73,82
1895,31,40
1895,51,60
151,5,14
151,51,60
151,72,81
151,73,82
3509,5,14
3509,51,60
249,51,60
249,72,81
249,73,82
1341,2,11
1341,27,36
1341,51,60
447,39,48
447,51,60
2085,13,22
2085,51,60
1768,20,29
1768,51,60
1768,73,82
1525,51,60
1184,51,60
1184,95,104
1927,0,9
1927,61,70
1927,90,99
1921,5,14
1921,51,60
453,5,14
453,51,60
453,71,80
453,72,81
2175,2,11
2175,26,35
2175,28,37
2175,51,60
2175,58,67
153,18,27
153,32,41
153,41,50
153,51,60
153,71,80
153,96,105
706,39,48
706,51,60
706,87,96
1503,10,19
1503,51,60
1051,51,60
1051,62,71
1806,51,60
2412,51,60
2412,71,80
3586,18,27
3586,78,87
2340,12,21
2340,37,46
2340,51,60
2340,84,93
3440,51,60
39,51,60
2855,9,18
2855,51,60
3627,7,16
3627,31,40
3627,38,47
3627,51,60
3627,80,89
827,51,60
3244,51,60
3244,70,79
3166,28,37
1137,4,13
1137,33,42
1137,51,60
1137,72,81
1137,73,82
1847,11,20
1847,17,26
1847,42,51
1847,51,60
1847,89,98
3088,29,38
3088,51,60
3088,89,98
3088,99,108
1154,9,18
1154,51,60
1915,10,19
1915,28,37
1915,51,60
